IDFirm,FirmName
AF,Harita Kencana Sekuritas
AG,Kiwoom Sekuritas Indonesia
AH,Shinhan Sekuritas Indonesia
AI,UOB Kay Hian Sekuritas
AK,UBS Sekuritas Indonesia
AN,Wanteg Sekuritas
AO,ERDIKHA ELIT SEKURITAS
AP,Pacific Sekuritas Indonesia
AR,Binaartha Sekuritas
AT,Phintraco Sekuritas
AZ,Sucor Sekuritas
BB,Verdhana Sekuritas Indonesia
BF,Inti Fikasa Sekuritas
BK,J.P. Morgan Sekuritas Indonesia
BQ,Korea Investment and Sekuritas Indonesia
BR,Trust Sekuritas
BS,Equity Sekuritas Indonesia
CC,MANDIRI SEKURITAS
CD,Mega Capital Sekuritas
CP,KB Valbury Sekuritas
CS,Credit Suisse Sekuritas Indonesia
DD,Makindo Sekuritas
DH,SINARMAS SEKURITAS
DM,Masindo Artha Sekuritas
DP,DBS Vickers Sekuritas Indonesia
DR,RHB Sekuritas Indonesia
DU,KAF Sekuritas Indonesia
DX,Bahana Sekuritas
EL,Evergreen Sekuritas Indonesia
EP,MNC Sekuritas
ES,EKOKAPITAL SEKURITAS
FO,Forte Global Sekuritas
FS,Yuanta Sekuritas Indonesia
FZ,Waterfront Sekuritas Indonesia
GA,BNC Sekuritas Indonesia
GI,Mahastra Andalan Sekuritas
GR,PANIN SEKURITAS Tbk.
GW,HSBC Sekuritas Indonesia
HD,KGI Sekuritas Indonesia
HP,Henan Putihrai Sekuritas
ID,Anugerah Sekuritas Indonesia
IF,SAMUEL SEKURITAS INDONESIA
IH,Pacific 2000 Sekuritas
II,Danatama Makmur Sekuritas
IN,INVESTINDO NUSANTARA SEKURITA
IP,Yugen Bertumbuh Sekuritas
IT,INTI TELADAN SEKURITAS
IU,Indo Capital Sekuritas
KI,Ciptadana Sekuritas Asia
KK,Phillip Sekuritas Indonesia
KZ,CLSA Sekuritas Indonesia
LG,Trimegah Sekuritas Indonesia Tbk.
LH,Royal Investium Sekuritas
LS,Reliance Sekuritas Indonesia Tbk.
MG,Semesta Indovest Sekuritas
MI,Victoria Sekuritas Indonesia
MK,Ekuator Swarna Sekuritas
MU,Minna Padi Investama Sekuritas
NI,BNI Sekuritas
OD,BRI Danareksa Sekuritas
OK,NET SEKURITAS
PC,FAC Sekuritas Indonesia
PD,Indo Premier Sekuritas
PF,Danasakti Sekuritas Indonesia
PG,Panca Global Sekuritas
PO,Pilarmas Investindo Sekuritas
PP,Aldiracita Sekuritas Indonesia
PS,PARAMITRA ALFA SEKURITAS
RB,Nikko Sekuritas Indonesia
RF,Buana Capital Sekuritas
RG,Profindo Sekuritas Indonesia
RO,Nilai Inti Sekuritas
RS,Yulie Sekuritas Indonesia Tbk.
RX,Macquarie Sekuritas Indonesia
SA,Elit Sukses Sekuritas
SC,IMG Sekuritas
SF,Surya Fajar Sekuritas
SH,Artha Sekuritas Indonesia
SQ,BCA Sekuritas
SS,Supra Sekuritas Indonesia
TF,Universal Broker Indonesia Sekuritas
TP,OCBC Sekuritas Indonesia
TS,Dwidana Sakti Sekuritas
XA,NH Korindo Sekuritas Indonesia
XC,Ajaib Sekuritas Asia
XL,Stockbit Sekuritas Digital
YB,Jasa Utama Capital Sekuritas
YJ,Lotus Andalan Sekuritas
YO,Amantara Sekuritas Indonesia
YP,Mirae Asset Sekuritas Indonesia
YU,CGS-CIMB Sekuritas Indonesia
ZP,Maybank Sekuritas Indonesia
ZR,Bumiputera Sekuritas
